temperature_celsius,moisture_percent,ph_level,carbon_nitrogen_ratio,waste_type,days_to_degrade,required_action
58.8,21.5,5.6,21.7,Yard_Waste,49,Add_Water
34.6,64.4,6.7,32.7,Market_Vegetable,35,Add_Bacillus_Enzyme
31.3,33.1,6.5,15.8,Market_Vegetable,47,Add_Water
62.2,62.1,6.2,28.5,Mixed_Household,28,Optimal_No_Action
66.4,20.4,7.7,35.9,Mixed_Household,45,Add_Water
42.5,32.9,7.6,18.1,Mixed_Household,46,Add_Water
34.4,70.8,6.9,39.2,Yard_Waste,50,Add_Bacillus_Enzyme
50.7,27.5,8.2,17.4,Mixed_Household,48,Add_Water
67.3,57.1,7.9,32.3,Yard_Waste,36,Turn_Pile_Aeration
33.1,59.7,7.6,44.6,Market_Vegetable,43,Add_Bacillus_Enzyme
69.0,42.8,6.3,40.0,Market_Vegetable,35,Turn_Pile_Aeration
46.7,32.6,5.6,43.1,Yard_Waste,50,Add_Water
33.2,58.1,6.6,22.3,Mixed_Household,40,Add_Bacillus_Enzyme
47.1,79.4,7.1,31.7,Yard_Waste,43,Turn_Pile_Aeration
44.6,66.1,4.7,39.7,Mixed_Household,50,Turn_Pile_Aeration
48.1,24.0,8.2,32.0,Yard_Waste,50,Add_Water
44.2,59.3,6.1,42.4,Mixed_Household,42,Optimal_No_Action
36.4,28.4,7.5,31.2,Yard_Waste,50,Add_Water
56.3,73.9,6.1,21.6,Market_Vegetable,32,Turn_Pile_Aeration
52.9,25.5,4.7,18.3,Yard_Waste,50,Add_Water
37.2,60.8,6.9,26.5,Yard_Waste,40,Add_Bacillus_Enzyme
74.8,51.7,8.4,40.8,Market_Vegetable,38,Turn_Pile_Aeration
60.6,26.9,8.0,37.5,Yard_Waste,47,Add_Water
45.3,37.6,5.1,15.1,Yard_Waste,50,Add_Water
69.4,35.8,6.5,20.4,Market_Vegetable,34,Add_Water
69.2,37.9,7.1,33.3,Market_Vegetable,30,Add_Water
46.8,29.7,8.3,42.7,Market_Vegetable,47,Add_Water
57.0,49.3,4.9,25.9,Mixed_Household,35,Optimal_No_Action
40.8,34.5,6.8,17.4,Yard_Waste,50,Add_Water
51.9,24.2,7.5,38.0,Market_Vegetable,39,Add_Water
59.7,76.8,5.2,30.8,Yard_Waste,44,Turn_Pile_Aeration
49.0,32.7,6.7,36.9,Market_Vegetable,36,Add_Water
62.1,43.9,7.2,26.2,Yard_Waste,32,Optimal_No_Action
50.3,34.9,4.8,15.6,Yard_Waste,50,Add_Water
40.4,33.2,4.8,33.9,Market_Vegetable,48,Add_Water
33.0,21.9,5.8,30.4,Mixed_Household,50,Add_Water
60.1,32.9,5.0,43.1,Yard_Waste,50,Add_Water
55.9,34.6,6.4,27.2,Market_Vegetable,28,Add_Water
34.4,45.9,6.2,29.0,Yard_Waste,46,Add_Bacillus_Enzyme
32.4,59.2,7.1,16.8,Yard_Waste,47,Add_Sawdust_Carbon
45.3,71.7,5.5,20.7,Mixed_Household,45,Turn_Pile_Aeration
36.3,31.0,6.4,41.2,Market_Vegetable,47,Add_Water
49.9,71.7,6.7,16.5,Yard_Waste,45,Add_Sawdust_Carbon
67.6,78.1,8.2,40.5,Market_Vegetable,41,Turn_Pile_Aeration
48.3,48.9,8.0,42.1,Market_Vegetable,36,Optimal_No_Action
47.1,79.1,5.6,38.5,Mixed_Household,49,Turn_Pile_Aeration
42.8,61.8,7.4,38.5,Yard_Waste,44,Optimal_No_Action
62.3,29.3,5.7,44.1,Yard_Waste,50,Add_Water
63.1,23.7,5.8,16.5,Mixed_Household,46,Add_Water
52.6,71.2,5.1,43.8,Market_Vegetable,44,Turn_Pile_Aeration
68.3,24.1,4.8,40.9,Mixed_Household,50,Add_Water
35.4,73.4,5.5,32.8,Yard_Waste,50,Add_Bacillus_Enzyme
33.7,59.4,6.8,24.5,Mixed_Household,38,Add_Bacillus_Enzyme
39.2,63.0,5.5,26.9,Yard_Waste,46,Add_Bacillus_Enzyme
59.0,47.4,8.2,43.1,Market_Vegetable,33,Optimal_No_Action
50.6,79.9,8.5,17.2,Market_Vegetable,43,Add_Sawdust_Carbon
52.8,27.9,5.9,17.1,Market_Vegetable,41,Add_Water
46.6,29.5,7.8,36.1,Yard_Waste,50,Add_Water
74.3,68.4,6.6,35.0,Yard_Waste,43,Turn_Pile_Aeration
43.5,59.8,8.3,19.0,Market_Vegetable,37,Add_Sawdust_Carbon
70.0,64.5,5.1,23.5,Market_Vegetable,36,Turn_Pile_Aeration
62.3,32.2,7.0,22.9,Mixed_Household,33,Add_Water
41.3,74.5,4.7,34.0,Mixed_Household,50,Turn_Pile_Aeration
32.0,40.0,5.0,44.4,Market_Vegetable,50,Add_Bacillus_Enzyme
63.4,53.1,6.2,15.3,Market_Vegetable,29,Add_Sawdust_Carbon
72.5,61.5,5.1,16.1,Mixed_Household,45,Add_Sawdust_Carbon
56.2,28.9,5.0,24.2,Market_Vegetable,39,Add_Water
70.5,32.6,5.5,18.1,Yard_Waste,50,Add_Water
69.8,44.4,7.0,19.6,Market_Vegetable,29,Add_Sawdust_Carbon
68.9,78.6,7.7,41.4,Market_Vegetable,40,Turn_Pile_Aeration
38.1,75.5,7.6,27.4,Yard_Waste,47,Add_Bacillus_Enzyme
68.9,68.6,5.6,38.6,Market_Vegetable,38,Turn_Pile_Aeration
47.2,22.3,6.4,21.0,Mixed_Household,46,Add_Water
45.7,69.2,8.0,21.7,Yard_Waste,46,Turn_Pile_Aeration
38.7,39.7,8.0,44.0,Mixed_Household,50,Add_Water
45.8,50.6,7.2,40.3,Mixed_Household,37,Optimal_No_Action
72.3,26.9,8.4,20.4,Mixed_Household,48,Add_Water
31.7,55.8,5.9,38.6,Mixed_Household,46,Add_Bacillus_Enzyme
57.3,50.7,6.0,32.3,Mixed_Household,30,Optimal_No_Action
32.0,46.2,6.6,39.2,Yard_Waste,50,Add_Bacillus_Enzyme
62.4,64.5,7.2,25.9,Market_Vegetable,22,Optimal_No_Action
72.7,75.2,7.0,34.9,Market_Vegetable,33,Turn_Pile_Aeration
62.4,38.0,5.7,27.3,Mixed_Household,34,Add_Water
61.4,53.3,5.3,34.9,Mixed_Household,34,Optimal_No_Action
60.5,74.2,7.0,24.0,Yard_Waste,35,Turn_Pile_Aeration
67.5,38.2,5.3,38.6,Yard_Waste,50,Add_Water
59.5,47.9,6.3,21.4,Mixed_Household,30,Optimal_No_Action
65.7,77.6,7.4,34.8,Mixed_Household,37,Turn_Pile_Aeration
53.2,58.0,5.8,39.6,Market_Vegetable,32,Optimal_No_Action
60.3,33.5,5.3,15.7,Market_Vegetable,39,Add_Water
74.3,56.7,7.6,28.7,Yard_Waste,36,Turn_Pile_Aeration
55.9,63.1,6.0,27.0,Market_Vegetable,25,Optimal_No_Action
59.5,20.3,7.5,38.1,Market_Vegetable,37,Add_Water
65.0,33.1,7.7,35.9,Mixed_Household,39,Add_Water
32.3,35.0,7.9,28.7,Mixed_Household,46,Add_Water
60.0,79.3,6.9,43.5,Mixed_Household,39,Turn_Pile_Aeration
57.6,63.2,6.5,39.9,Yard_Waste,39,Optimal_No_Action
50.1,29.5,7.9,28.5,Market_Vegetable,34,Add_Water
67.8,36.6,7.6,29.5,Market_Vegetable,30,Add_Water
42.4,24.6,5.6,23.2,Mixed_Household,50,Add_Water
